strain	Accession_ID	date	division	Pango_lineage	Variant	division2	pango.group	label
Canada/BC-BCCDC-250744/2021	EPI_ISL_6994707	2021-10-29	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-250744_2021
Canada/BC-BCCDC-245887/2021	EPI_ISL_6995089	2021-11-06	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-245887_2021
Canada/BC-BCCDC-250805/2021	EPI_ISL_6995392	2021-11-01	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-250805_2021
Canada/BC-BCCDC-250811/2021	EPI_ISL_6995447	2021-11-01	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-250811_2021
Canada/BC-BCCDC-250890/2021	EPI_ISL_6996302	2021-11-06	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-250890_2021
Canada/BC-BCCDC-251184/2021	EPI_ISL_6998843	2021-11-06	British_Columbia	AY.27	Delta AY.27	British_Columbia	Delta	Canada_BC-BCCDC-251184_2021
Canada/BC-BCCDC-251197/2021	EPI_ISL_6999012	2021-11-07	British_Columbia	AY.27	Delta AY.27	British_Columbia	Delta	Canada_BC-BCCDC-251197_2021
Canada/BC-BCCDC-245940/2021	EPI_ISL_6999481	2021-11-03	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-245940_2021
Canada/BC-BCCDC-251231/2021	EPI_ISL_6999568	2021-11-05	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251231_2021
Canada/BC-BCCDC-251240/2021	EPI_ISL_6999661	2021-11-05	British_Columbia	AY.27	Delta AY.27	British_Columbia	Delta	Canada_BC-BCCDC-251240_2021
Canada/BC-BCCDC-251252/2021	EPI_ISL_6999813	2021-11-04	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251252_2021
Canada/BC-BCCDC-245952/2021	EPI_ISL_6999935	2021-11-04	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-245952_2021
Canada/BC-BCCDC-251317/2021	EPI_ISL_7000441	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251317_2021
Canada/BC-BCCDC-251336/2021	EPI_ISL_7000745	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251336_2021
Canada/BC-BCCDC-251354/2021	EPI_ISL_7000903	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251354_2021
Canada/BC-BCCDC-251387/2021	EPI_ISL_7001104	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251387_2021
Canada/BC-BCCDC-251432/2021	EPI_ISL_7001626	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251432_2021
Canada/BC-BCCDC-251437/2021	EPI_ISL_7001868	2021-11-05	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251437_2021
Canada/BC-BCCDC-246176/2021	EPI_ISL_7002036	2021-11-05	British_Columbia	AY.4	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-246176_2021
Canada/BC-BCCDC-251467/2021	EPI_ISL_7002135	2021-11-04	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251467_2021
Canada/BC-BCCDC-246294/2021	EPI_ISL_7002871	2021-11-06	British_Columbia	AY.4	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-246294_2021
Canada/BC-BCCDC-246305/2021	EPI_ISL_7002919	2021-11-04	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-246305_2021
Canada/BC-BCCDC-251542/2021	EPI_ISL_7003279	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251542_2021
Canada/BC-BCCDC-251608/2021	EPI_ISL_7003665	2021-11-04	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251608_2021
Canada/BC-BCCDC-251633/2021	EPI_ISL_7003831	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-251633_2021
Canada/BC-BCCDC-251654/2021	EPI_ISL_7003922	2021-11-06	British_Columbia	AY.4	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-251654_2021
Canada/BC-BCCDC-252031/2021	EPI_ISL_7004421	2021-11-08	British_Columbia	AY.103	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-252031_2021
Canada/BC-BCCDC-252177/2021	EPI_ISL_7004557	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252177_2021
Canada/BC-BCCDC-252181/2021	EPI_ISL_7004578	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252181_2021
Canada/BC-BCCDC-252197/2021	EPI_ISL_7004690	2021-11-10	British_Columbia	B.1.617.2	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-252197_2021
Canada/BC-BCCDC-252260/2021	EPI_ISL_7005030	2021-10-31	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252260_2021
Canada/BC-BCCDC-252283/2021	EPI_ISL_7005154	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252283_2021
Canada/BC-BCCDC-252286/2021	EPI_ISL_7005168	2021-11-07	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252286_2021
Canada/BC-BCCDC-252422/2021	EPI_ISL_7005861	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252422_2021
Canada/BC-BCCDC-252466/2021	EPI_ISL_7006107	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252466_2021
Canada/BC-BCCDC-252489/2021	EPI_ISL_7006218	2021-11-08	British_Columbia	AY.98.1	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-252489_2021
Canada/BC-BCCDC-252531/2021	EPI_ISL_7006450	2021-11-08	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252531_2021
Canada/BC-BCCDC-252676/2021	EPI_ISL_7007216	2021-11-10	British_Columbia	AY.27	Delta AY.27	British_Columbia	Delta	Canada_BC-BCCDC-252676_2021
Canada/BC-BCCDC-252679/2021	EPI_ISL_7007242	2021-11-10	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252679_2021
Canada/BC-BCCDC-252726/2021	EPI_ISL_7007461	2021-11-12	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252726_2021
Canada/BC-BCCDC-252737/2021	EPI_ISL_7007526	2021-11-12	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252737_2021
Canada/BC-BCCDC-252747/2021	EPI_ISL_7007574	2021-11-09	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252747_2021
Canada/BC-BCCDC-252752/2021	EPI_ISL_7007609	2021-11-08	British_Columbia	AY.27	Delta AY.27	British_Columbia	Delta	Canada_BC-BCCDC-252752_2021
Canada/BC-BCCDC-252778/2021	EPI_ISL_7007732	2021-11-07	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252778_2021
Canada/BC-BCCDC-252811/2021	EPI_ISL_7007874	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252811_2021
Canada/BC-BCCDC-252817/2021	EPI_ISL_7007907	2021-11-09	British_Columbia	AY.74	Delta + AY.*	British_Columbia	Delta	Canada_BC-BCCDC-252817_2021
Canada/BC-BCCDC-252844/2021	EPI_ISL_7008043	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252844_2021
Canada/BC-BCCDC-252853/2021	EPI_ISL_7008097	2021-11-10	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252853_2021
Canada/BC-BCCDC-252881/2021	EPI_ISL_7008257	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252881_2021
Canada/BC-BCCDC-252882/2021	EPI_ISL_7008266	2021-11-11	British_Columbia	AY.25.1	Delta AY.25	British_Columbia	Delta	Canada_BC-BCCDC-252882_2021
Canada/QC-1nDJXW-504933581/2021	EPI_ISL_7013639	2021-11-01	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-504933581_2021
Canada/QC-1nDJXW-504983781/2021	EPI_ISL_7013658	2021-11-02	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-504983781_2021
Canada/QC-1nDJXW-505000201/2021	EPI_ISL_7013668	2021-11-02	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-505000201_2021
Canada/QC-1nDJXW-505072711/2021	EPI_ISL_7013683	2021-11-02	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-505072711_2021
Canada/QC-1nDJXW-505072871/2021	EPI_ISL_7013690	2021-11-02	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-505072871_2021
Canada/QC-1nDJXW-505113931/2021	EPI_ISL_7013698	2021-11-03	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nDJXW-505113931_2021
Canada/QC-1nDJXW-505161241/2021	EPI_ISL_7013711	2021-11-03	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nDJXW-505161241_2021
Canada/QC-1nDJXW-505127591/2021	EPI_ISL_7013727	2021-11-03	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nDJXW-505127591_2021
Canada/QC-1nDJXW-505227241/2021	EPI_ISL_7013737	2021-11-04	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nDJXW-505227241_2021
Canada/QC-1nQUP-0706076705/2021	EPI_ISL_7013745	2021-11-04	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nQUP-0706076705_2021
Canada/QC-1nQUP-0706077875/2021	EPI_ISL_7013753	2021-11-05	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nQUP-0706077875_2021
Canada/QC-1nIEOQ-7051959155/2021	EPI_ISL_7013760	2021-11-01	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nIEOQ-7051959155_2021
Canada/QC-1nIEOQ-7051962456/2021	EPI_ISL_7013762	2021-11-03	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nIEOQ-7051962456_2021
Canada/QC-1nIEOQ-7056799517/2021	EPI_ISL_7013771	2021-11-05	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nIEOQ-7056799517_2021
Canada/QC-1nIEOQ-V10313179Q/2021	EPI_ISL_7013778	2021-11-03	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nIEOQ-V10313179Q_2021
Canada/QC-1nIEOQ-V10324699Q/2021	EPI_ISL_7013783	2021-11-03	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nIEOQ-V10324699Q_2021
Canada/QC-1nFWU-5203030/2021	EPI_ISL_7136132	2021-11-05	Quebec	AY.25	Delta AY.25	Quebec	Delta	Canada_QC-1nFWU-5203030_2021
Canada/QC-1nFWU-5205129/2021	EPI_ISL_7136138	2021-11-06	Quebec	AY.119	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5205129_2021
Canada/QC-1nFWU-5207307/2021	EPI_ISL_7136139	2021-11-08	Quebec	AY.119.2	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5207307_2021
Canada/QC-1nFWU-5208272/2021	EPI_ISL_7136140	2021-11-08	Quebec	AY.121	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5208272_2021
Canada/QC-1nFWU-5210056/2021	EPI_ISL_7136142	2021-11-09	Quebec	AY.74	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5210056_2021
Canada/QC-1nFWU-5210861/2021	EPI_ISL_7136143	2021-11-09	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nFWU-5210861_2021
Canada/SK-NML-238653/2021	EPI_ISL_7138524	2021-11-07	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-NML-238653_2021
Canada/SK-NML-238656/2021	EPI_ISL_7138525	2021-11-06	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-NML-238656_2021
Canada/SK-NML-238663/2021	EPI_ISL_7138527	2021-11-06	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-NML-238663_2021
Canada/SK-NML-238710/2021	EPI_ISL_7138543	2021-11-03	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-NML-238710_2021
Canada/SK-NML-238728/2021	EPI_ISL_7138547	2021-11-03	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-NML-238728_2021
Canada/SK-NML-238654/2021	EPI_ISL_7138552	2021-11-07	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-NML-238654_2021
Canada/SK-NML-238661/2021	EPI_ISL_7138554	2021-11-06	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-NML-238661_2021
Canada/SK-NML-238666/2021	EPI_ISL_7138555	2021-11-07	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-NML-238666_2021
Canada/SK-NML-238677/2021	EPI_ISL_7138558	2021-11-05	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-NML-238677_2021
Canada/SK-NML-238679/2021	EPI_ISL_7138559	2021-11-06	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-NML-238679_2021
Canada/SK-NML-238680/2021	EPI_ISL_7138560	2021-11-06	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-NML-238680_2021
Canada/SK-NML-238681/2021	EPI_ISL_7138561	2021-11-06	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-NML-238681_2021
Canada/SK-NML-238711/2021	EPI_ISL_7138572	2021-11-04	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-NML-238711_2021
Canada/NS-NML-236954/2021	EPI_ISL_7141405	2021-10-21	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236954_2021
Canada/NS-NML-236958/2021	EPI_ISL_7141407	2021-10-23	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236958_2021
Canada/NS-NML-237000/2021	EPI_ISL_7141410	2021-10-26	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-237000_2021
Canada/NS-NML-237012/2021	EPI_ISL_7141412	2021-10-26	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-237012_2021
Canada/NS-NML-237013/2021	EPI_ISL_7141413	2021-10-29	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-237013_2021
Canada/NS-NML-236980/2021	EPI_ISL_7141415	2021-10-24	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236980_2021
Canada/NS-NML-236990/2021	EPI_ISL_7141416	2021-10-25	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236990_2021
Canada/NS-NML-236952/2021	EPI_ISL_7141417	2021-10-21	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236952_2021
Canada/NS-NML-236969/2021	EPI_ISL_7141421	2021-10-23	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236969_2021
Canada/NS-NML-236988/2021	EPI_ISL_7141424	2021-10-25	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236988_2021
Canada/NS-NML-236997/2021	EPI_ISL_7141425	2021-10-25	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236997_2021
Canada/NS-NML-236935/2021	EPI_ISL_7141427	2021-10-21	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236935_2021
Canada/NS-NML-236963/2021	EPI_ISL_7141428	2021-10-23	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236963_2021
Canada/NS-NML-237001/2021	EPI_ISL_7141431	2021-10-26	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-237001_2021
Canada/NS-NML-236965/2021	EPI_ISL_7141432	2021-10-22	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236965_2021
Canada/NS-NML-236987/2021	EPI_ISL_7141435	2021-10-24	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236987_2021
Canada/NS-NML-937/2020	EPI_ISL_7141514	2020-03-25	Nova_Scotia	B.1.369	other	Nova_Scotia	other	Canada_NS-NML-937_2020
Canada/NS-NML-236937/2021	EPI_ISL_7141516	2021-10-21	Nova_Scotia	AY.25	Delta AY.25	Nova_Scotia	Delta	Canada_NS-NML-236937_2021
Canada/NS-NML-236975/2021	EPI_ISL_7141526	2021-10-23	Nova_Scotia	AY.74	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236975_2021
Canada/NS-NML-236946/2021	EPI_ISL_7141528	2021-10-22	Nova_Scotia	AY.27	Delta AY.27	Nova_Scotia	Delta	Canada_NS-NML-236946_2021
Canada/NS-NML-236977/2021	EPI_ISL_7141533	2021-10-24	Nova_Scotia	AY.25.1	Delta AY.25	Nova_Scotia	Delta	Canada_NS-NML-236977_2021
Canada/NS-NML-237005/2021	EPI_ISL_7141534	2021-10-25	Nova_Scotia	AY.25.1	Delta AY.25	Nova_Scotia	Delta	Canada_NS-NML-237005_2021
Canada/NS-NML-237007/2021	EPI_ISL_7141535	2021-10-26	Nova_Scotia	AY.74	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-237007_2021
Canada/NS-NML-236939/2021	EPI_ISL_7141540	2021-10-21	Nova_Scotia	AY.100	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236939_2021
Canada/NS-NML-236974/2021	EPI_ISL_7141542	2021-10-23	Nova_Scotia	AY.100	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236974_2021
Canada/NS-NML-236964/2021	EPI_ISL_7141547	2021-10-22	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236964_2021
Canada/NS-NML-236986/2021	EPI_ISL_7141548	2021-10-24	Nova_Scotia	AY.103	Delta + AY.*	Nova_Scotia	Delta	Canada_NS-NML-236986_2021
Canada/QC-1nDJXW-505538341/2021	EPI_ISL_7160384	2021-11-07	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-505538341_2021
Canada/QC-1nDJXW-505531861/2021	EPI_ISL_7160386	2021-11-07	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nDJXW-505531861_2021
Canada/QC-1nDJXW-505657891/2021	EPI_ISL_7160393	2021-11-08	Quebec	AY.25.1	Delta AY.25	Quebec	Delta	Canada_QC-1nDJXW-505657891_2021
Canada/QC-1nFWU-5196614/2021	EPI_ISL_7160400	2021-11-03	Quebec	AY.119.2	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5196614_2021
Canada/QC-1nFWU-5201027/2021	EPI_ISL_7160403	2021-11-04	Quebec	AY.44	Delta + AY.*	Quebec	Delta	Canada_QC-1nFWU-5201027_2021
Canada/QC-1nIUM-V1061551/2021	EPI_ISL_7160406	2021-11-06	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nIUM-V1061551_2021
Canada/QC-1nIUM-V1061817/2021	EPI_ISL_7160407	2021-11-06	Quebec	AY.119.2	Delta + AY.*	Quebec	Delta	Canada_QC-1nIUM-V1061817_2021
Canada/QC-1nIUM-V1070642/2021	EPI_ISL_7160411	2021-11-07	Quebec	AY.103	Delta + AY.*	Quebec	Delta	Canada_QC-1nIUM-V1070642_2021
Canada/SK-RRPL-249170/2021	EPI_ISL_7160653	2021-11-15	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249170_2021
Canada/SK-RRPL-249128/2021	EPI_ISL_7160661	2021-11-17	Saskatchewan	AY.42	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249128_2021
Canada/SK-RRPL-249087/2021	EPI_ISL_7160665	2021-11-18	Saskatchewan	AY.103	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249087_2021
Canada/SK-RRPL-249653/2021	EPI_ISL_7160668	2021-11-17	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249653_2021
Canada/SK-RRPL-249136/2021	EPI_ISL_7160672	2021-11-16	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249136_2021
Canada/SK-RRPL-249084/2021	EPI_ISL_7160677	2021-11-18	Saskatchewan	AY.103	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249084_2021
Canada/SK-RRPL-249155/2021	EPI_ISL_7160689	2021-11-17	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249155_2021
Canada/SK-RRPL-249107/2021	EPI_ISL_7160692	2021-11-19	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249107_2021
Canada/SK-RRPL-249578/2021	EPI_ISL_7160707	2021-11-18	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249578_2021
Canada/SK-RRPL-249542/2021	EPI_ISL_7160715	2021-11-19	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249542_2021
Canada/SK-RRPL-249135/2021	EPI_ISL_7160719	2021-11-18	Saskatchewan	AY.42	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249135_2021
Canada/SK-RRPL-249092/2021	EPI_ISL_7160724	2021-11-18	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249092_2021
Canada/SK-RRPL-249544/2021	EPI_ISL_7160726	2021-11-19	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249544_2021
Canada/SK-RRPL-249546/2021	EPI_ISL_7160731	2021-11-19	Saskatchewan	AY.103	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249546_2021
Canada/SK-RRPL-249651/2021	EPI_ISL_7160738	2021-11-18	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249651_2021
Canada/SK-RRPL-249574/2021	EPI_ISL_7160750	2021-11-17	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249574_2021
Canada/SK-RRPL-249502/2021	EPI_ISL_7160754	2021-11-20	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249502_2021
Canada/SK-RRPL-249496/2021	EPI_ISL_7160762	2021-11-19	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249496_2021
Canada/SK-RRPL-249569/2021	EPI_ISL_7160766	2021-11-19	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249569_2021
Canada/SK-RRPL-249589/2021	EPI_ISL_7160772	2021-11-19	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249589_2021
Canada/SK-RRPL-249585/2021	EPI_ISL_7160773	2021-11-19	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249585_2021
Canada/SK-RRPL-249560/2021	EPI_ISL_7160777	2021-11-20	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249560_2021
Canada/SK-RRPL-249562/2021	EPI_ISL_7160778	2021-11-20	Saskatchewan	AY.103	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249562_2021
Canada/SK-RRPL-249510/2021	EPI_ISL_7160780	2021-11-21	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249510_2021
Canada/SK-RRPL-249509/2021	EPI_ISL_7160786	2021-11-21	Saskatchewan	AY.103	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249509_2021
Canada/SK-RRPL-249508/2021	EPI_ISL_7160787	2021-11-21	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249508_2021
Canada/SK-RRPL-249486/2021	EPI_ISL_7160791	2021-11-19	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249486_2021
Canada/SK-RRPL-249567/2021	EPI_ISL_7160794	2021-11-22	Saskatchewan	AY.42	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249567_2021
Canada/SK-RRPL-249645/2021	EPI_ISL_7160803	2021-11-22	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249645_2021
Canada/SK-RRPL-249552/2021	EPI_ISL_7160805	2021-11-21	Saskatchewan	AY.93	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249552_2021
Canada/SK-RRPL-249557/2021	EPI_ISL_7160810	2021-11-22	Saskatchewan	AY.42	Delta + AY.*	Saskatchewan	Delta	Canada_SK-RRPL-249557_2021
Canada/SK-RRPL-249631/2021	EPI_ISL_7160813	2021-11-21	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249631_2021
Canada/SK-RRPL-249620/2021	EPI_ISL_7160814	2021-11-23	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249620_2021
Canada/SK-RRPL-249671/2021	EPI_ISL_7160833	2021-11-22	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249671_2021
Canada/SK-RRPL-249635/2021	EPI_ISL_7160838	2021-11-22	Saskatchewan	AY.25.1	Delta AY.25	Saskatchewan	Delta	Canada_SK-RRPL-249635_2021
Canada/SK-RRPL-249665/2021	EPI_ISL_7160840	2021-11-23	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249665_2021
Canada/SK-RRPL-249610/2021	EPI_ISL_7160844	2021-11-22	Saskatchewan	AY.27	Delta AY.27	Saskatchewan	Delta	Canada_SK-RRPL-249610_2021
